Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category,key,month
2024-09-29,Y & S Hand Craft Corpvirginia Beacva,SQ *Y & S HAND CRAFT CORPVirginia BeacVA,Groceries,-53,Posted,misc_expenses,groceries,Y & S Hand Craft Corpvirginia Beacva_-53_9/29/24,2024-09
2024-09-29,Spo Victoria'spizzeria Virginia Beacva,SPO*VICTORIA'SPIZZERIA   VIRGINIA BEACVA,Food & Dining,-74.22,Posted,misc_expenses,restaraunts,Spo Victoria'spizzeria Virginia Beacva_-74.22_9/29/24,2024-09
2024-09-28,Hulu 877-8244858 CA      HULU.COM/BILLCA,Hulu 877-8244858 CA      HULU.COM/BILLCA,Category Pending,-20.41,Posted,fixed_expenses,subscriptions,Hulu 877-8244858 CA      HULU.COM/BILLCA_-20.41_9/28/24,2024-09
2024-09-27,KOHLS #0650              VIRGINIA BEACVA,KOHLS #0650              VIRGINIA BEACVA,Category Pending,-45.51,Posted,misc_expenses,clothing,KOHLS #0650              VIRGINIA BEACVA_-45.51_9/27/24,2024-09
2024-09-27,KROGER #532              VIRGINIA BEACVA,KROGER #532              VIRGINIA BEACVA,Category Pending,-160.31,Posted,fixed_expenses,groceries,KROGER #532              VIRGINIA BEACVA_-160.31_9/27/24,2024-09
2024-09-26,Kindle,Kindle Svcs*NO9SH9AV3    888-802-3080 WA,Books,-14.99,Posted,misc_expenses,miscellaneous,Kindle_-14.99_9/26/24,2024-09
2024-09-26,Kroger,KROGER #532              VIRGINIA BEACVA,Groceries,-18.15,Posted,fixed_expenses,groceries,Kroger_-18.15_9/26/24,2024-09
2024-09-26,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-107.49,Posted,misc_expenses,miscellaneous,Apple_-107.49_9/26/24,2024-09
2024-09-25,Nissan,HALL NISSAN VIRGINIA BEA VIRGINIA BCH VA,Auto & Transport,81.42,Posted,fixed_expenses,transportation,Nissan_81.42_9/25/24,2024-09
2024-09-25,Kindle,Kindle Svcs*GI3L65VC3    888-802-3080 WA,Books,-14.99,Posted,misc_expenses,miscellaneous,Kindle_-14.99_9/25/24,2024-09
2024-09-25,Kindle,Kindle Svcs*JP3KW3TE3    888-802-3080 WA,Books,-14.99,Posted,misc_expenses,miscellaneous,Kindle_-14.99_9/25/24,2024-09
2024-09-24,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-12.88,Posted,misc_expenses,subscriptions,Apple_-12.88_9/24/24,2024-09
2024-09-24,AT&T,ATT* BILL PAYMENT        800-331-0500 TX,Bills & Utilities,-207.89,Posted,fixed_expenses,internet_cellular,AT&T_-207.89_9/24/24,2024-09
2024-09-22,TJ Maxx,TJMAXX #0226             VIRGINIA BEACVA,Clothing,34.97,Posted,misc_expenses,clothing,TJ Maxx_34.97_9/22/24,2024-09
2024-09-22,Walmart,WM SUPERCENTER #4064     VIRGINIA BEACVA,Shopping,20.61,Posted,misc_expenses,groceries,Walmart_20.61_9/22/24,2024-09
2024-09-22,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-13.21,Posted,misc_expenses,restaraunts,Shorebreak Pizza Online_-13.21_9/22/24,2024-09
2024-09-21,Navy Exchange,NAVY EXCHANGE 050180     VIRGINIA BEACVA,Shopping,-9.99,Posted,misc_expenses,miscellaneous,Navy Exchange_-9.99_9/21/24,2024-09
2024-09-21,Taco Bell,TACO BELL 0015909        VIRGINIA BCH VA,Fast Food,-14.51,Posted,misc_expenses,restaraunts,Taco Bell_-14.51_9/21/24,2024-09
2024-09-21,Py Gourmet Gang,PY *GOURMET GANG         HENRICO      VA,Restaurants,-16.36,Posted,misc_expenses,restaraunts,Py Gourmet Gang_-16.36_9/21/24,2024-09
2024-09-21,7-Eleven,7-ELEVEN 26611           VIRGINIA BEACVA,Gas,-20.77,Posted,misc_expenses,transportation,7-Eleven_-20.77_9/21/24,2024-09
2024-09-21,Chick-fil-A,CHICK-FIL-A #00734       757-318-7641 VA,Fast Food,-23.88,Posted,misc_expenses,restaraunts,Chick-fil-A_-23.88_9/21/24,2024-09
2024-09-21,Navy Exchange,NEX FUEL 050039          VIRGINIA BEACVA,Gas,-25.67,Posted,fixed_expenses,transportation,Navy Exchange_-25.67_9/21/24,2024-09
2024-09-21,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-29.53,Posted,misc_expenses,restaraunts,Shorebreak Pizza Online_-29.53_9/21/24,2024-09
2024-09-21,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-63.83,Posted,fixed_expenses,groceries,Little Creek Comm Virginia Beacva_-63.83_9/21/24,2024-09
2024-09-21,Nissan,HALL NISSAN VIRGINIA BEA VIRGINIA BCH VA,Auto & Transport,-81.42,Posted,fixed_expenses,transportation,Nissan_-81.42_9/21/24,2024-09
2024-09-21,Walmart,WM SUPERCENTER #4064     VIRGINIA BEACVA,Shopping,-197.36,Posted,fixed_expenses,groceries,Walmart_-197.36_9/21/24,2024-09
2024-09-21,Liability Insuranc,CPH LIABILITY INSURANC   800-875-1911 IL,Financial,-206,Posted,fixed_expenses,professional_expenses,Liability Insuranc_-206_9/21/24,2024-09
2024-09-19,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-19.07,Posted,fixed_expenses,groceries,Little Creek Comm Virginia Beacva_-19.07_9/19/24,2024-09
2024-09-19,Wawa,WAWA 675                 VIRGINIA BEACVA,Gas,-26.8,Posted,fixed_expenses,transportation,Wawa_-26.8_9/19/24,2024-09
2024-09-18,Special Boat Team Twevirginia Beacva,SQ *SPECIAL BOAT TEAM TWEVIRGINIA BEACVA,Gifts & Donations,-8,Posted,misc_expenses,restaraunts,Special Boat Team Twevirginia Beacva_-8_9/18/24,2024-09
2024-09-18,CVS,CVS/PHARMACY #08938      VIRGINIA BEACVA,Pharmacy,-24.48,Posted,fixed_expenses,healthcare,CVS_-24.48_9/18/24,2024-09
2024-09-16,Verizon,VERIZON*RECURRING PAY    800-VERIZON  FL,Utilities,-100.59,Posted,fixed_expenses,internet_cellular,Verizon_-100.59_9/16/24,2024-09
2024-09-15,CVS,CVS/PHARMACY #08938      VIRGINIA BEACVA,Pharmacy,-12.68,Posted,fixed_expenses,healthcare,CVS_-12.68_9/15/24,2024-09
2024-09-15,Jersey Mike's Subs,JERSEY MIKES 6019        VIRGINIA BEACVA,Fast Food,-21.46,Posted,misc_expenses,restaraunts,Jersey Mike's Subs_-21.46_9/15/24,2024-09
2024-09-15,Global Independe Virginia Beacva,GLOBAL - 627 INDEPENDE   VIRGINIA BEACVA,Gas,-55.41,Posted,fixed_expenses,transportation,Global Independe Virginia Beacva_-55.41_9/15/24,2024-09
2024-09-15,Lidl,LIDL #1299               VIRGINIA BEACVA,Groceries,-163.06,Posted,fixed_expenses,groceries,Lidl_-163.06_9/15/24,2024-09
2024-09-15,Walmart,WM SUPERCENTER #4064     VIRGINIA BEACVA,Shopping,-232.02,Posted,fixed_expenses,groceries,Walmart_-232.02_9/15/24,2024-09
2024-09-15,Brightwheel,BRGHTWHL* FRANCIS ASBU   WWW.MYBRIGHTWCA,Babysitter & Daycare,-570.21,Posted,fixed_expenses,education,Brightwheel_-570.21_9/15/24,2024-09
2024-09-13,SUNOCO 8000814402        VIRGINIA BEACVA,SUNOCO 8000814402        VIRGINIA BEACVA,Category Pending,-12.72,Posted,fixed_expenses,transportation,SUNOCO 8000814402        VIRGINIA BEACVA_-12.72_9/13/24,2024-09
2024-09-11,Chick-fil-A,CHICK-FIL-A #00734       VIRGINIA BEACVA,Fast Food,-7.34,Posted,misc_expenses,restaraunts,Chick-fil-A_-7.34_9/11/24,2024-09
2024-09-11,Special Boat Team Twevirginia Beacva,SQ *SPECIAL BOAT TEAM TWEVIRGINIA BEACVA,Gifts & Donations,-8,Posted,misc_expenses,restaraunts,Special Boat Team Twevirginia Beacva_-8_9/11/24,2024-09
2024-09-11,Chick-fil-A,CHICK-FIL-A #00734       VIRGINIA BEACVA,Fast Food,-27.98,Posted,misc_expenses,restaraunts,Chick-fil-A_-27.98_9/11/24,2024-09
2024-09-10,Walmart,WAL-MART #4064           VIRGINIA BEACVA,Shopping,-256.6,Posted,fixed_expenses,groceries,Walmart_-256.6_9/10/24,2024-09
2024-09-09,Sheetz,SHEETZ 0518   00005181   MECHANICSBURGPA,Gas,-3.98,Posted,misc_expenses,groceries,Sheetz_-3.98_9/9/24,2024-09
2024-09-09,CVS,CVS/PHARMACY #01639      MECHANICSBURGPA,Pharmacy,-5.59,Posted,fixed_expenses,healthcare,CVS_-5.59_9/9/24,2024-09
2024-09-09,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-13.21,Posted,misc_expenses,restaraunts,Shorebreak Pizza Online_-13.21_9/9/24,2024-09
2024-09-09,Starbucks,STARBUCKS 800-782-7282   800-782-7282 WA,Coffee Shops,-25,Posted,misc_expenses,restaraunts,Starbucks_-25_9/9/24,2024-09
2024-09-09,Sheetz,SHEETZ 2518   00025189   MECHANICSBURGPA,Gas,-28.46,Posted,fixed_expenses,transportation,Sheetz_-28.46_9/9/24,2024-09
2024-09-09,Sweet Velvet Macaronscamp Hill,SQ *SWEET VELVET MACARONSCamp Hill    PA,Groceries,-43.2,Posted,misc_expenses,restaraunts,Sweet Velvet Macaronscamp Hill_-43.2_9/9/24,2024-09
2024-09-09,Hampton Inn,HAMPTON INN HARRISBURG   MECHANICSBURGPA,Hotel,-44.4,Posted,misc_expenses,travel,Hampton Inn_-44.4_9/9/24,2024-09
2024-09-09,Greenlin Lambs Gap Mechanicsburg,Greenlin - Lambs Gap     MechanicsburgPA,Business Services,-241.05,Posted,misc_expenses,pet,Greenlin Lambs Gap Mechanicsburg_-241.05_9/9/24,2024-09
2024-09-08,Pilot Flying J,PILOT 370                PITTSTON     PA,Gas,-5.98,Posted,misc_expenses,transportation,Pilot Flying J_-5.98_9/8/24,2024-09
2024-09-08,Pilot Flying J,PILOT_00370              PITTSTON     PA,Gas,-63.42,Posted,fixed_expenses,transportation,Pilot Flying J_-63.42_9/8/24,2024-09
2024-09-08,Appalachian Brewing Mechanicsburg,TST*APPALACHIAN BREWING  MechanicsburgPA,Alcohol & Bars,-77.18,Posted,misc_expenses,restaraunts,Appalachian Brewing Mechanicsburg_-77.18_9/8/24,2024-09
2024-09-07,Dollar General,DOLLAR GENERAL 15815     JEFFERSONVILLNY,Shopping,-17.01,Posted,misc_expenses,miscellaneous,Dollar General_-17.01_9/7/24,2024-09
2024-09-06,The Market Street Dellemoyne,SQ *THE MARKET STREET DELLemoyne      PA,Fast Food,-11.59,Posted,misc_expenses,restaraunts,The Market Street Dellemoyne_-11.59_9/6/24,2024-09
2024-09-06,Sheetz,SHEETZ 2518   00025189   MECHANICSBURGPA,Gas,-44.84,Posted,fixed_expenses,transportation,Sheetz_-44.84_9/6/24,2024-09
2024-09-06,Ppy North Branch Inn,PPY*North Branch Inn     Hortonville  NY,Hotel,-750.64,Posted,misc_expenses,travel,Ppy North Branch Inn_-750.64_9/6/24,2024-09
2024-09-05,Sheetz,SHEETZ 0699   00006999   MECHANICSVILLVA,Gas,-2.62,Posted,misc_expenses,miscellaneous,Sheetz_-2.62_9/5/24,2024-09
2024-09-05,Pepsi Cola Bottling,CPI*PEPSI-COLA BOTTLING C540-347-3112 VA,Fast Food,-3,Posted,misc_expenses,restaraunts,Pepsi Cola Bottling_-3_9/5/24,2024-09
2024-09-05,Walgreens,WALGREENS #7133          VIRGINIA BEACVA,Pharmacy,-11.53,Posted,fixed_expenses,healthcare,Walgreens_-11.53_9/5/24,2024-09
2024-09-05,Sheetz,SHEETZ 2699   00026997   MECHANICSVILLVA,Gas,-20.79,Posted,fixed_expenses,transportation,Sheetz_-20.79_9/5/24,2024-09
2024-09-05,Amici Pizza Mechanicsburgpa,AMICI PIZZA              MECHANICSBURGPA,Food & Dining,-42.24,Posted,misc_expenses,restaraunts,Amici Pizza Mechanicsburgpa_-42.24_9/5/24,2024-09
2024-09-05,Ring,RING YEARLY PLAN         HTTPSRING.COMCA,Home Services,-49.99,Posted,fixed_expenses,subscriptions,Ring_-49.99_9/5/24,2024-09
2024-09-04,Anthropologie,ANTHROPOLOGIE.COM        HTTPSWWW.ANTHPA,Clothing,122.84,Posted,misc_expenses,clothing,Anthropologie_122.84_9/4/24,2024-09
2024-09-04,Virginianaturalgasbill,VIRGINIANATURALGASBILL   866-383-1846 GA,Utilities,-39.01,Posted,fixed_expenses,housing_utilities,Virginianaturalgasbill_-39.01_9/4/24,2024-09
2024-09-04,Kroger,KROGER #532              VIRGINIA BEACVA,Groceries,-46.98,Posted,fixed_expenses,groceries,Kroger_-46.98_9/4/24,2024-09
2024-09-03,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-15.04,Posted,fixed_expenses,groceries,Little Creek Comm Virginia Beacva_-15.04_9/3/24,2024-09
2024-09-03,Taste Bayville Far,TST*TASTE - BAYVILLE FAR 757-464-1566 VA,Restaurants,-30.06,Posted,misc_expenses,restaraunts,Taste Bayville Far_-30.06_9/3/24,2024-09
2024-09-03,Navy Exchange,NAVY EXCHANGE 050180     VIRGINIA BEACVA,Shopping,-37.99,Posted,misc_expenses,miscellaneous,Navy Exchange_-37.99_9/3/24,2024-09
2024-09-02,TJ Maxx,TJMAXX #0226             VIRGINIA BEACVA,Clothing,69.41,Posted,misc_expenses,clothing,TJ Maxx_69.41_9/2/24,2024-09
2024-09-02,Shorebreak Pizza Virginia Beac,Shorebreak Pizza         Virginia BeacVA,Food & Dining,-14.78,Posted,misc_expenses,restaraunts,Shorebreak Pizza Virginia Beac_-14.78_9/2/24,2024-09
2024-09-01,Kroger Fuel,KROGER FUEL #3532        VIRGINIA BEACVA,Gas,-53.05,Posted,fixed_expenses,transportation,Kroger Fuel_-53.05_9/1/24,2024-09
2024-09-01,Kroger,KROGER #532              VIRGINIA BEACVA,Groceries,-107.28,Posted,fixed_expenses,groceries,Kroger_-107.28_9/1/24,2024-09
2024-08-31,Car Spa Virginia Beacva,CAR SPA #32              VIRGINIA BEACVA,Service & Parts,-18,Posted,misc_expenses,transportation,Car Spa Virginia Beacva_-18_8/31/24,2024-08
2024-08-31,Taylor S Hardware Virginia Beacva,TAYLOR S HARDWARE 6711   VIRGINIA BEACVA,Home Improvement,-18.51,Posted,misc_expenses,housing_utilities,Taylor S Hardware Virginia Beacva_-18.51_8/31/24,2024-08
2024-08-31,PetSmart,PETSMART # 1171          VIRGINIA BEACVA,Pet Food & Supplies,-23.31,Posted,fixed_expenses,pet,PetSmart_-23.31_8/31/24,2024-08
2024-08-31,Wawa,WAWA 8609                VIRGINIA BEACVA,Gas,-26.47,Posted,fixed_expenses,transportation,Wawa_-26.47_8/31/24,2024-08
2024-08-31,Chick-fil-A,CHICK-FIL-A #00734       757-318-7641 VA,Fast Food,-32.1,Posted,misc_expenses,restaraunts,Chick-fil-A_-32.1_8/31/24,2024-08
2024-08-30,Lulus Fashion Lounge Luluca,"LULUS FASHION LOUNGE,    HTTPSWWW.LULUCA",Clothing,298.48,Posted,misc_expenses,clothing,Lulus Fashion Lounge Luluca_298.48_8/30/24,2024-08
2024-08-30,Costco,COSTCO WHSE #0202        NORFOLK      VA,Shopping,-6.72,Posted,misc_expenses,restaraunts,Costco_-6.72_8/30/24,2024-08
2024-08-30,TJ Maxx,TJMAXX #0226             VIRGINIA BEACVA,Clothing,-42.39,Posted,misc_expenses,clothing,TJ Maxx_-42.39_8/30/24,2024-08
2024-08-30,Ulta Beauty,ULTA #677                VIRGINIA BEACVA,Personal Care,-116.06,Posted,misc_expenses,personal_care,Ulta Beauty_-116.06_8/30/24,2024-08
2024-08-30,Costco,COSTCO WHSE #0202        NORFOLK      VA,Shopping,-199.44,Posted,fixed_expenses,groceries,Costco_-199.44_8/30/24,2024-08
2024-08-30,TJ Maxx,TJMAXX #0226             VIRGINIA BEACVA,Clothing,-241.66,Posted,misc_expenses,clothing,TJ Maxx_-241.66_8/30/24,2024-08
2024-08-28,Dillard's,DILLARDS 698 DILLARD'S   501-320-3700 AR,Shopping,242.54,Posted,misc_expenses,clothing,Dillard's_242.54_8/28/24,2024-08
2024-08-28,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-9.99,Posted,fixed_expenses,subscriptions,Apple_-9.99_8/28/24,2024-08
2024-08-28,Hulu,Hulu 877-8244858 CA      HULU.COM/BILLCA,Television,-20.41,Posted,fixed_expenses,subscriptions,Hulu_-20.41_8/28/24,2024-08
2024-08-27,Reward Points Redemption,REWARD POINTS REDEMPTION,Credit Card Payment,624.27,Posted,misc_expenses,miscellaneous,Reward Points Redemption_624.27_8/27/24,2024-08
2024-08-26,Kohls Virginia Beacva,KOHLS #0650              VIRGINIA BEACVA,Shopping,33.92,Posted,misc_expenses,clothing,Kohls Virginia Beacva_33.92_8/26/24,2024-08
2024-08-26,Kohls Virginia Beacva,KOHLS #0650              VIRGINIA BEACVA,Shopping,19.42,Posted,misc_expenses,clothing,Kohls Virginia Beacva_19.42_8/26/24,2024-08
2024-08-26,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-2.6,Posted,misc_expenses,restaraunts,Shorebreak Pizza Online_-2.6_8/26/24,2024-08
2024-08-26,E-ZPass,NJ EZPASS                888-288-6865 NJ,Auto & Transport,-25,Posted,misc_expenses,transportation,E-ZPass_-25_8/26/24,2024-08
2024-08-25,Starbucks,STARBUCKS 800-782-7282   800-782-7282 WA,Coffee Shops,-25,Posted,misc_expenses,restaraunts,Starbucks_-25_8/25/24,2024-08
2024-08-25,The Home Depot,THE HOME DEPOT #4614     VIRGINIA BCH VA,Home Improvement,-33.01,Posted,misc_expenses,housing_utilities,The Home Depot_-33.01_8/25/24,2024-08
2024-08-25,Shake Shack,SHAKE SHACK - 1265A      646-747-7178 VA,Fast Food,-40.97,Posted,misc_expenses,restaraunts,Shake Shack_-40.97_8/25/24,2024-08
2024-08-25,Walmart,WM SUPERCENTER #4064     VIRGINIA BEACVA,Shopping,-81.87,Posted,fixed_expenses,groceries,Walmart_-81.87_8/25/24,2024-08
2024-08-25,Wayfair,WF* WAYFAIR3891524245    HTTPSWWW.WAYFMA,Furnishings,-136.73,Posted,misc_expenses,miscellaneous,Wayfair_-136.73_8/25/24,2024-08
2024-08-24,Starbucks,STARBUCKS STORE 21598    VIRGINIA BEACVA,Coffee Shops,-9.59,Posted,misc_expenses,restaraunts,Starbucks_-9.59_8/24/24,2024-08
2024-08-24,Apple,APPLE.COM/BILL           866-712-7753 CA,Electronics & Software,-12.88,Posted,fixed_expenses,subscriptions,Apple_-12.88_8/24/24,2024-08
2024-08-24,Taylor S Do It Center Virginia Beacva,TAYLOR S DO-IT CENTER 670VIRGINIA BEACVA,Home Improvement,-13.77,Posted,misc_expenses,housing_utilities,Taylor S Do It Center Virginia Beacva_-13.77_8/24/24,2024-08
2024-08-24,iHerb.com,IHERB IHERB.COM he3Ws    951-6163600  CA,Health & Fitness,-68.06,Posted,misc_expenses,personal_care,iHerb.com_-68.06_8/24/24,2024-08
2024-08-24,Lidl,LIDL #1299               VIRGINIA BEACVA,Groceries,-109.48,Posted,fixed_expenses,groceries,Lidl_-109.48_8/24/24,2024-08
2024-08-24,AT&T,ATT* BILL PAYMENT        800-331-0500 TX,Bills & Utilities,-207.89,Posted,fixed_expenses,internet_cellular,AT&T_-207.89_8/24/24,2024-08
2024-08-23,WAWA 675                 VIRGINIA BEACVA,WAWA 675                 VIRGINIA BEACVA,Category Pending,-21.74,Posted,fixed_expenses,transportation,WAWA 675                 VIRGINIA BEACVA_-21.74_8/23/24,2024-08
2024-08-23,Shirtmax,SHIRTMAX                 404-352-4774 GA,Clothing,-22.35,Posted,misc_expenses,clothing,Shirtmax_-22.35_8/23/24,2024-08
2024-08-23,TST*TASTE - BAYVILLE FAR Virginia BeacVA,TST*TASTE - BAYVILLE FAR Virginia BeacVA,Category Pending,-25.61,Posted,fixed_expenses,restaraunts,TST*TASTE - BAYVILLE FAR Virginia BeacVA_-25.61_8/23/24,2024-08
2024-08-23,Naval Special Warfarevirginia Beacva,SQ *NAVAL SPECIAL WARFAREVirginia BeacVA,Business Services,-30,Posted,misc_expenses,clothing,Naval Special Warfarevirginia Beacva_-30_8/23/24,2024-08
2024-08-23,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Category Pending,-41.93,Posted,fixed_expenses,restaraunts,SHOREBREAK PIZZA (ONLINE 757-4819393  VA_-41.93_8/23/24,2024-08
2024-08-20,Navy Exchange,NAVY EXCHANGE 050180     VIRGINIA BEACVA,Shopping,-17.98,Posted,misc_expenses,miscellaneous,Navy Exchange_-17.98_8/20/24,2024-08
2024-08-18,Starbucks,STARBUCKS STORE 17020    VIRGINIA BEACVA,Coffee Shops,-9.92,Posted,misc_expenses,restaraunts,Starbucks_-9.92_8/18/24,2024-08
2024-08-18,Little Caesars,LITTLE CAESARS 0629 0003 757-363-7992 VA,Fast Food,-14.69,Posted,fixed_expenses,restaraunts,Little Caesars_-14.69_8/18/24,2024-08
2024-08-18,Walmart,WAL-MART #4064           VIRGINIA BEACVA,Shopping,-350.68,Posted,fixed_expenses,groceries,Walmart_-350.68_8/18/24,2024-08
2024-08-16,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-13.21,Posted,fixed_expenses,restaraunts,Shorebreak Pizza Online_-13.21_8/16/24,2024-08
2024-08-16,Capital Digestive Care Silver Spring,Capital Digestive Care   Silver SpringMD,Doctor,-21.89,Posted,fixed_expenses,healthcare,Capital Digestive Care Silver Spring_-21.89_8/16/24,2024-08
2024-08-16,Verizon,VERIZON*RECURRING PAY    800-VERIZON  FL,Utilities,-100.59,Posted,fixed_expenses,internet_cellular,Verizon_-100.59_8/16/24,2024-08
2024-08-15,TACO BELL 727641         757-465-8282 VA,TACO BELL 727641         757-465-8282 VA,Category Pending,-20.13,Posted,fixed_expenses,transportation,TACO BELL 727641         757-465-8282 VA_-20.13_8/15/24,2024-08
2024-08-15,CHICK-FIL-A #00734       757-318-7641 VA,CHICK-FIL-A #00734       757-318-7641 VA,Category Pending,-38,Posted,fixed_expenses,transportation,CHICK-FIL-A #00734       757-318-7641 VA_-38_8/15/24,2024-08
2024-08-15,Greenlin Lambs Gap,Greenlin - Lambs Gap     171-7275942  PA,Business Services,-50,Posted,misc_expenses,pet,Greenlin Lambs Gap_-50_8/15/24,2024-08
2024-08-15,Brightwheel,BRGHTWHL* FRANCIS ASBU   WWW.MYBRIGHTWCA,Babysitter & Daycare,-180.32,Posted,fixed_expenses,education,Brightwheel_-180.32_8/15/24,2024-08
2024-08-14,Kroger,KROGER #532              VIRGINIA BEACVA,Groceries,-23.24,Posted,fixed_expenses,groceries,Kroger_-23.24_8/14/24,2024-08
2024-08-14,Taste Bayville Far,TST*TASTE - BAYVILLE FAR 757-464-1566 VA,Restaurants,-36.76,Posted,fixed_expenses,restaraunts,Taste Bayville Far_-36.76_8/14/24,2024-08
2024-08-12,Shorebreak Pizza Online,SHOREBREAK PIZZA (ONLINE 757-4819393  VA,Food & Dining,-12.92,Posted,fixed_expenses,restaraunts,Shorebreak Pizza Online_-12.92_8/12/24,2024-08
2024-08-12,Wawa,WAWA 675                 VIRGINIA BEACVA,Gas,-16.93,Posted,fixed_expenses,transportation,Wawa_-16.93_8/12/24,2024-08
2024-08-12,D & M Hanes Inc,IN *D & M HANES INC.     419-4255550  OH,Restaurants,-48,Posted,fixed_expenses,groceries,D & M Hanes Inc_-48_8/12/24,2024-08
2024-08-12,Little Creek Comm Virginia Beacva,LITTLE CREEK COMM        VIRGINIA BEACVA,Groceries,-53.68,Posted,fixed_expenses,groceries,Little Creek Comm Virginia Beacva_-53.68_8/12/24,2024-08
2024-08-12,Dillard's,DILLARDS 698 DILLARD'S   501-320-3700 AR,Shopping,-252.49,Posted,misc_expenses,clothing,Dillard's_-252.49_8/12/24,2024-08
2024-08-11,Starbucks,STARBUCKS STORE 21598    VIRGINIA BEACVA,Coffee Shops,-15.72,Posted,fixed_expenses,restaraunts,Starbucks_-15.72_8/11/24,2024-08
2024-08-11,Amazon,AMAZON MKTPL*RM7IN4XN0   Amzn.com/billWA,Shopping,-18.7,Posted,misc_expenses,miscellaneous,Amazon_-18.7_8/11/24,2024-08
2024-08-11,Leaping Lizard Cafe Virginia,LEAPING LIZARD CAFE      VIRGINIA BCH VA,Food & Dining,-19.33,Posted,fixed_expenses,restaraunts,Leaping Lizard Cafe Virginia_-19.33_8/11/24,2024-08
2024-08-11,Zappos.com,ZAP*ZAPPOS.COM           800-927-7671 NV,Clothing,-95.39,Posted,misc_expenses,clothing,Zappos.com_-95.39_8/11/24,2024-08
2024-08-10,TST*AMERICAN BREW        Virginia BeacVA,TST*AMERICAN BREW        Virginia BeacVA,Category Pending,-43.76,Posted,fixed_expenses,restaraunts,TST*AMERICAN BREW        Virginia BeacVA_-43.76_8/10/24,2024-08
2024-08-09,ATL GOLDBERGS            ATLANTA      GA,ATL GOLDBERGS            ATLANTA      GA,Category Pending,-8.37,Posted,misc_expenses,miscellaneous,ATL GOLDBERGS            ATLANTA      GA_-8.37_8/9/24,2024-08
2024-08-09,WAWA 694                 VIRGINIA BEACVA,WAWA 694                 VIRGINIA BEACVA,Category Pending,-38.99,Posted,fixed_expenses,transportation,WAWA 694                 VIRGINIA BEACVA_-38.99_8/9/24,2024-08
2024-08-09,KOHLS #0650              VIRGINIA BEACVA,KOHLS #0650              VIRGINIA BEACVA,Category Pending,-72.06,Posted,misc_expenses,clothing,KOHLS #0650              VIRGINIA BEACVA_-72.06_8/9/24,2024-08
2024-08-09,TJMAXX #0226             VIRGINIA BEACVA,TJMAXX #0226             VIRGINIA BEACVA,Category Pending,-158.12,Posted,misc_expenses,clothing,TJMAXX #0226             VIRGINIA BEACVA_-158.12_8/9/24,2024-08
2024-08-08,CVS,CVS/PHARMACY #05330      SLIDELL      LA,Pharmacy,-12.59,Posted,fixed_expenses,healthcare,CVS_-12.59_8/8/24,2024-08
2024-08-08,The Original Italian Pie,THE ORIGINAL ITALIAN PIE 985-6610240  LA,Restaurants,-15.21,Posted,fixed_expenses,restaraunts,The Original Italian Pie_-15.21_8/8/24,2024-08
2024-08-08,Walmart,WM SUPERCENTER #553      SLIDELL      LA,Shopping,-66.62,Posted,fixed_expenses,groceries,Walmart_-66.62_8/8/24,2024-08
2024-08-08,Lulus Fashion Lounge Luluca,"LULUS FASHION LOUNGE,    HTTPSWWW.LULUCA",Clothing,-306.96,Posted,misc_expenses,clothing,Lulus Fashion Lounge Luluca_-306.96_8/8/24,2024-08
2024-08-07,Travel Store Inter Airtx,DFW TV5 TRAVEL STORE     DFW INTER AIRTX,Travel,-3.36,Posted,misc_expenses,miscellaneous,Travel Store Inter Airtx_-3.36_8/7/24,2024-08
2024-08-07,Hudson News,HUDSONNEWS  ST1159       IRVING       TX,Newspapers & Magazines,-10.92,Posted,misc_expenses,miscellaneous,Hudson News_-10.92_8/7/24,2024-08
2024-08-07,Chick-fil-A,CHICK-FIL-A #00734       757-318-7641 VA,Fast Food,-14.65,Posted,fixed_expenses,restaraunts,Chick-fil-A_-14.65_8/7/24,2024-08
2024-08-07,Copelands of New Orlea,COPELANDS OF NEW ORLEA   985-6430001  LA,Restaurants,-18.47,Posted,fixed_expenses,restaraunts,Copelands of New Orlea_-18.47_8/7/24,2024-08
